,district,total_cases
0,Ampara,7.5126175446745105
1,Anuradhapura,7.013915474810528
2,Badulla,7.727535110475448
3,Batticaloa,6.428105272684596
4,Colombo,10.505204516490187
5,Galle,8.392989587956931
6,Gampaha,9.973899416776494
7,Hambantota,7.234177179749849
8,Jaffna,7.537430036586509
9,Kalutara,9.356775650205728
10,Kandy,8.681011276645632
11,Kegalle,7.508787170634276
12,Kilinochchi,5.58724865840025
13,Kurunegala,8.808518618782816
14,Mannar,5.817111159963204
15,Matale,7.881182202227102
16,Matara,8.000349495324684
17,Monaragala,7.3987862754199485
18,Mullaitivu,4.6443908991413725
19,Nuwara Eliya,7.78155595923534
20,Polonnaruwa,6.324358962381311
21,Puttalam,7.763021309018518
22,Ratnapura,8.363342466597977
23,Trincomalee,6.837332814685591
24,Vavuniya,6.272877006546167
