location,iso_code,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinopharm/Wuhan,Sputnik V,Sinovac,Johnson&Johnson,Moderna,Covaxin,CanSino,Abdala,Soberana02
Afghanistan,AFG,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,,,,,,,,
Albania,ALB,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sputnik V,Sinovac,,,,,,
Algeria,DZA,,,,,Sputnik V,,,,,,,
Andorra,AND,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Angola,AGO,Oxford/AstraZeneca,,,,,,,,,,,
Anguilla,AIA,Oxford/AstraZeneca,,,,,,,,,,,
Antigua and Barbuda,ATG,Oxford/AstraZeneca,,,,,,,,,,,
Argentina,ARG,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sputnik V,,,,,,,
Armenia,ARM,Oxford/AstraZeneca,,,,Sputnik V,Sinovac,,,,,,
Aruba,ABW,,Pfizer/BioNTech,,,,,,,,,,
Australia,AUS,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Austria,AUT,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Azerbaijan,AZE,Oxford/AstraZeneca,,,,Sputnik V,Sinovac,,,,,,
Bahamas,BHS,Oxford/AstraZeneca,,,,,,,,,,,
Bahrain,BHR,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Bangladesh,BGD,Oxford/AstraZeneca,,,,,,,,,,,
Barbados,BRB,Oxford/AstraZeneca,,,,,,,,,,,
Belarus,BLR,Sinopharm/Beijing,,,,Sputnik V,,,,,,,
Belgium,BEL,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Belize,BLZ,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Benin,BEN,Oxford/AstraZeneca,,,,,Sinovac,,,,,,
Bermuda,BMU,,Pfizer/BioNTech,,,,,,,,,,
Bhutan,BTN,Oxford/AstraZeneca,,,,,,,,,,,
Bolivia,BOL,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Bonaire Sint Eustatius and Saba,BES,,Pfizer/BioNTech,,,,,,Moderna,,,,
Bosnia and Herzegovina,BIH,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sputnik V,Sinovac,,,,,,
Botswana,BWA,Oxford/AstraZeneca,,,,,,,,,,,
Brazil,BRA,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,,,
British Virgin Islands,VGB,Oxford/AstraZeneca,,,,,,,,,,,
Brunei,BRN,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Bulgaria,BGR,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Burkina Faso,BFA,Oxford/AstraZeneca,,,,,,,,,,,
Cambodia,KHM,Oxford/AstraZeneca,,Sinopharm/Beijing,,,Sinovac,,,,,,
Cameroon,CMR,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Canada,CAN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Cape Verde,CPV,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Cayman Islands,CYM,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Central African Republic,CAF,,Oxford/AstraZeneca,,,,,,,Covaxin,,,
Chile,CHL,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,CanSino,,
China,CHN,,Sinopharm/Beijing,,,,Sinovac,,,,CanSino,,
Colombia,COL,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,,,,,,,,,
Comoros,COM,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,Covaxin,,,
Congo,COG,Oxford/AstraZeneca,,Sinopharm/Beijing,Sinopharm/Wuhan,Sputnik V,,,Moderna,,,,
Cook Islands,COK,Oxford/AstraZeneca,,,,,,,,,,,
Costa Rica,CRI,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Cote d'Ivoire,CIV,Oxford/AstraZeneca,,,,,,,,,,,
Croatia,HRV,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Cuba,CUB,,,,,,,,,,,Abdala,Soberana02
Curacao,CUW,,Pfizer/BioNTech,,,,,,Moderna,,,,
Cyprus,CYP,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Czechia,CZE,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Democratic Republic of Congo,COD,Oxford/AstraZeneca,,,,,,,,,,,
Denmark,DNK,,Pfizer/BioNTech,,,,,,Moderna,,,,
Djibouti,DJI,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sputnik V,,,,,,,
Dominica,DMA,Oxford/AstraZeneca,,,,,,,,,,,
Dominican Republic,DOM,Oxford/AstraZeneca,,Sinopharm/Beijing,,,Sinovac,,,,,,
Ecuador,ECU,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,,,
Egypt,EGY,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sputnik V,Sinovac,,,,,,
El Salvador,SLV,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,,,
England,OWID_ENG,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Equatorial Guinea,GNQ,,,Sinopharm/Beijing,,,,,,,,,
Estonia,EST,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Eswatini,SWZ,Oxford/AstraZeneca,,,,,,,,,,,
Ethiopia,ETH,Oxford/AstraZeneca,,,,,,,,,,,
Faeroe Islands,FRO,,Pfizer/BioNTech,,,,,,Moderna,,,,
Falkland Islands,FLK,Oxford/AstraZeneca,,,,,,,,,,,
Fiji,FJI,Oxford/AstraZeneca,,,,,,,,,,,
Finland,FIN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
France,FRA,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
French Polynesia,PYF,Oxford/AstraZeneca,,,,,,,,,,,
Gabon,GAB,,,Sinopharm/Beijing,,,,,,,,,
Gambia,GMB,Oxford/AstraZeneca,,,,,,,,,,,
Georgia,GEO,Oxford/AstraZeneca,,,,,,,,,,,
Germany,DEU,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Ghana,GHA,Oxford/AstraZeneca,,,,Sputnik V,,,,,,,
Gibraltar,GIB,Pfizer/BioNTech,,,,,,,,,,,
Greece,GRC,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Greenland,GRL,,Pfizer/BioNTech,,,,,,,,,,
Grenada,GRD,Oxford/AstraZeneca,,,,,,,,,,,
Guatemala,GTM,Oxford/AstraZeneca,,,,,,,Moderna,,,,
Guernsey,GGY,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Guinea,GIN,,,,,Sputnik V,,,,,,,
Guinea-Bissau,GNB,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Guyana,GUY,Oxford/AstraZeneca,,,,Sputnik V,,,,,,,
Honduras,HND,Oxford/AstraZeneca,,,,Sputnik V,,Johnson&Johnson,Moderna,,,,
Hong Kong,HKG,,Pfizer/BioNTech,,,,Sinovac,,,,,,
Hungary,HUN,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,Moderna,,,,
Iceland,ISL,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
India,IND,Oxford/AstraZeneca,,,,,,,,Covaxin,,,
Indonesia,IDN,Oxford/AstraZeneca,,,,,Sinovac,,,,,,
Iran,IRN,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sputnik V,,,,Covaxin,,,
Iraq,IRQ,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,,,,,,,,
Ireland,IRL,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
